mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_trees,param_n_samples,param_n_burn,param_beta,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
53.839692449569704,6.4334343059390235,9.94178318977356,0.7954784354711512,200,500,300,2.5,0.99,"{'n_trees': 200, 'n_samples': 500, 'n_burn': 300, 'beta': 2.5, 'alpha': 0.99}",-254.0135977030268,-256.15796887886495,-293.6016835964315,-255.287505928072,-254.6360469038044,-262.73936060203994,15.447527095090459,8,-204.75165341377476,-207.2831176413946,-197.26068482803032,-201.42694173782627,-219.65926910825272,-206.07633334585572,7.576803419628522
25.778977394104004,0.10231476909418333,5.762053346633911,0.08703062773390016,100,500,100,1.5,0.99,"{'n_trees': 100, 'n_samples': 500, 'n_burn': 100, 'beta': 1.5, 'alpha': 0.99}",-250.27974979491805,-267.70540623233916,-286.12213338846175,-263.965890878914,-250.42479462981427,-263.6995949848894,13.230270103841011,9,-220.70671887212973,-225.76294707318067,-212.85087441604068,-220.68613614444743,-224.80983248536938,-220.96330179823357,4.556018584715369
89.48609170913696,1.7839884504076107,20.153988647460938,0.8228351018747786,200,1000,100,2.0,0.99,"{'n_trees': 200, 'n_samples': 1000, 'n_burn': 100, 'beta': 2.0, 'alpha': 0.99}",-255.01420253867664,-266.055427012687,-285.0348583486971,-265.2436871848657,-234.6095425796356,-261.1915435329124,16.452010263336113,6,-210.97785385301768,-208.72886145992692,-195.5142377307889,-203.571716493643,-213.33005726808906,-206.42454536109312,6.338801633407863
24.981696605682373,0.5319575674935406,4.900818252563477,0.03861204376425189,100,500,100,1.5,0.95,"{'n_trees': 100, 'n_samples': 500, 'n_burn': 100, 'beta': 1.5, 'alpha': 0.95}",-252.25838286004918,-260.7412190177595,-289.93885679374483,-251.59820211766905,-239.45071879649927,-258.79747591714437,16.984993567717826,2,-215.4134389049861,-223.88252907002143,-211.77916835174017,-218.65190577591522,-225.88707679953137,-219.12282378043886,5.221503391297577
43.83203196525574,0.26905271842863554,9.687791919708252,0.14466365122630553,100,1000,100,2.5,0.95,"{'n_trees': 100, 'n_samples': 1000, 'n_burn': 100, 'beta': 2.5, 'alpha': 0.95}",-255.01906375393014,-267.54633430442703,-293.8868746209735,-267.09031423201344,-264.79937974927014,-269.6683933321229,12.930542236599143,12,-232.2151710628777,-228.42252219753246,-215.81564430754707,-229.00965585038713,-238.39393172938773,-228.77138502954645,7.382178041056601
97.21465148925782,2.0507460569900697,20.380612802505492,1.1877212989577237,200,1000,200,2.0,0.9,"{'n_trees': 200, 'n_samples': 1000, 'n_burn': 200, 'beta': 2.0, 'alpha': 0.9}",-253.82206444433982,-267.7656091887257,-288.3919689287139,-250.3511390836558,-241.1525443005233,-260.2966651891917,16.4466563507922,4,-198.21676498513347,-213.69410242827973,-192.59426251211985,-203.9116118619834,-213.34927057122462,-204.35320247174823,8.298255111964869
81.93322095870971,8.69263522549855,19.905732727050783,2.5676317264692288,200,1000,200,2.5,0.95,"{'n_trees': 200, 'n_samples': 1000, 'n_burn': 200, 'beta': 2.5, 'alpha': 0.95}",-262.13784527483676,-264.3173538466742,-291.4016816661108,-245.68434963263573,-234.60710050907267,-259.6296661858661,19.27862543048022,3,-208.5139562447249,-209.66385831653793,-197.99255880227253,-205.78121994052663,-210.7095333990349,-206.5322253406194,4.575460605975755
20.43818588256836,2.8858603790882813,4.778697490692139,0.31822338262260425,50,1000,300,2.5,0.9,"{'n_trees': 50, 'n_samples': 1000, 'n_burn': 300, 'beta': 2.5, 'alpha': 0.9}",-266.89995487176617,-285.23799285125176,-296.34447397930944,-269.764347896873,-265.6266593033342,-276.77468578050696,12.04606009297818,17,-245.2827454079455,-253.38698677779453,-239.6695881491591,-244.09618571378758,-245.38977653533198,-245.56505651680374,4.431865168340413
49.676503849029544,0.6856983378810365,10.496249580383301,0.7596888600682388,100,1000,200,2.5,0.95,"{'n_trees': 100, 'n_samples': 1000, 'n_burn': 200, 'beta': 2.5, 'alpha': 0.95}",-253.84223999170243,-269.5645981394397,-299.0275393024539,-266.39649408835254,-249.92764973507533,-267.75170425140476,17.288557790450696,11,-230.1023935955488,-230.44977396165683,-227.3337267789424,-231.32358828204906,-237.78854605834945,-231.3996057353093,3.462387861756033
12.624341535568238,0.08265247080988547,2.5124627113342286,0.02495227968640342,50,500,100,2.5,0.99,"{'n_trees': 50, 'n_samples': 500, 'n_burn': 100, 'beta': 2.5, 'alpha': 0.99}",-267.39036785828023,-304.31788570823636,-308.88095260459545,-266.32565785452437,-293.0804420211681,-287.99906120936083,18.014619101398658,20,-253.0739481007597,-268.22907505001047,-253.86933628696377,-247.30959714900155,-264.16884915998816,-257.3301611493447,7.694911812997421
25.611790037155153,0.32057295611773706,5.3103070735931395,0.36663190968802417,100,500,100,2.0,0.9,"{'n_trees': 100, 'n_samples': 500, 'n_burn': 100, 'beta': 2.0, 'alpha': 0.9}",-244.3145572039138,-294.6013176509338,-292.1106627505274,-259.6726958934739,-259.6369796257215,-270.0672426249141,19.838704607882445,13,-232.1846978603435,-229.7095147559311,-217.29214839810209,-222.49046739709772,-235.74708090214526,-227.4847818627239,6.695329509043051
16.685751056671144,0.08276043018430954,2.6155834674835203,0.29004357359005195,50,500,300,2.0,0.95,"{'n_trees': 50, 'n_samples': 500, 'n_burn': 300, 'beta': 2.0, 'alpha': 0.95}",-247.21850269664577,-281.7505906518202,-286.1126975808559,-267.69316890463847,-294.94557269355835,-275.5441065055037,16.67698717018027,16,-247.21890646125055,-247.30597007813986,-239.78173380438318,-240.85299062805996,-265.03278011048775,-248.0384762164643,9.053392989033341
25.81090168952942,0.6919053168536569,5.065446281433106,0.2728577791292062,50,1000,300,1.5,0.9,"{'n_trees': 50, 'n_samples': 1000, 'n_burn': 300, 'beta': 1.5, 'alpha': 0.9}",-259.42548828099683,-290.6149014240721,-291.98027094381854,-258.9961018491997,-287.3854263849663,-277.6804377766107,15.154669065878968,18,-244.05730887807087,-245.0949993531616,-228.09184084333086,-244.9578247741596,-257.71089113880276,-243.98257299750512,9.414629905215188
15.639376354217529,0.540446134159696,2.5618404388427733,0.3064996242383616,50,500,300,1.5,0.95,"{'n_trees': 50, 'n_samples': 500, 'n_burn': 300, 'beta': 1.5, 'alpha': 0.95}",-261.2186477082042,-274.848243901695,-297.1032435988974,-273.8641133913882,-246.7563298532816,-270.7581156906932,16.658507182654148,14,-244.0473803218825,-247.8787398001154,-230.83670172056244,-242.98311491379056,-247.58103575780342,-242.6653945028309,6.217255055684883
13.89404764175415,0.10086683085087034,2.412615203857422,0.04754756661105026,50,500,200,2.0,0.9,"{'n_trees': 50, 'n_samples': 500, 'n_burn': 200, 'beta': 2.0, 'alpha': 0.9}",-254.9145478016933,-283.2287940568235,-294.7806110067107,-265.428211981034,-298.1826995288838,-279.3069728750291,16.725535088804982,19,-250.7416150935728,-258.19096325820584,-244.72441453547515,-244.4475342510188,-268.54539950534826,-253.32998532872415,9.108143403534978
12.30867042541504,1.9542318269002805,2.339105415344238,0.16379840522003625,50,500,300,2.0,0.9,"{'n_trees': 50, 'n_samples': 500, 'n_burn': 300, 'beta': 2.0, 'alpha': 0.9}",-254.0984363545731,-277.0937853011509,-305.47524882216,-270.3878816513975,-254.95078480552868,-272.401227386962,18.758862761841748,15,-247.78021467723846,-249.6039494804623,-251.67976402710536,-246.55391457642466,-252.4357991497958,-249.61072838220534,2.234138328866535
93.48691329956054,13.064998368774296,19.504422855377197,0.543708185511036,200,1000,300,2.0,0.99,"{'n_trees': 200, 'n_samples': 1000, 'n_burn': 300, 'beta': 2.0, 'alpha': 0.99}",-252.55371904001643,-278.46766672361224,-284.4198936457412,-253.56648524052525,-235.0912252168373,-260.81979797334645,18.173111179937933,5,-200.2835638067525,-212.99146328722844,-194.5959027554555,-202.24584801522926,-211.15097131251034,-204.25354983543522,6.884582155972588
64.15147829055786,0.6244570001192286,9.943282222747802,0.26833663939627317,200,500,300,2.5,0.95,"{'n_trees': 200, 'n_samples': 500, 'n_burn': 300, 'beta': 2.5, 'alpha': 0.95}",-262.8575271321054,-265.4711828374421,-284.2415278539515,-264.539015067395,-245.0159462528199,-264.4250398287428,12.433588481978694,10,-203.6692576599995,-206.16072435289132,-200.6517536204597,-208.0276452417879,-209.15193327851526,-205.53226283073073,3.0664008162836884
55.888560152053834,0.31820234241395645,9.815348148345947,0.08017625589308981,200,500,200,2.5,0.95,"{'n_trees': 200, 'n_samples': 500, 'n_burn': 200, 'beta': 2.5, 'alpha': 0.95}",-246.8294890784804,-276.4795813096932,-283.0201072850429,-262.16654338598374,-237.50788964264478,-261.200722140369,17.195025837552414,7,-206.06675556920197,-213.83808600692782,-194.93946372407606,-200.8826119751402,-212.84868610204686,-205.7151206754786,7.161869750877852
51.441121625900266,0.4223614123509331,9.716065168380737,0.1188260273258614,100,1000,300,1.5,0.9,"{'n_trees': 100, 'n_samples': 1000, 'n_burn': 300, 'beta': 1.5, 'alpha': 0.9}",-245.28084840260212,-259.40564306187434,-277.0788556134148,-260.70214441352425,-242.61894044316827,-257.01728638691674,12.383903492745445,1,-217.92286846916528,-217.8877212623053,-209.58114181092807,-219.8234930096394,-229.3436499606378,-218.91177490253517,6.304642461185367
